[ INFO ] [2018-11-12 11:09:33] com.github.ontio.OntsynhandlerApplication [50] - Starting OntsynhandlerApplication on sss.local with PID 1480 (/Users/sss/dev/localgit/javaProject/SidechainSynHandler/target/classes started by sss in /Users/sss/dev/localgit/javaProject/SidechainSynHandler)
[ INFO ] [2018-11-12 11:09:33] com.github.ontio.OntsynhandlerApplication [663] - The following profiles are active: uat
[ INFO ] [2018-11-12 11:09:33] org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext [590] - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@59fd97a8: startup date [Mon Nov 12 11:09:33 CST 2018]; root of context hierarchy
[ INFO ] [2018-11-12 11:09:35] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [328] - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$de7ccd59] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1148
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10038
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1149
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10039
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1150
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10040
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1151
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10041
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1152
[ INFO ] [2018-11-12 11:09:39] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter [574] - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@59fd97a8: startup date [Mon Nov 12 11:09:33 CST 2018]; root of context hierarchy
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1153
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10043
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1154
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10044
